,current speed,direction,u,v
2003-01-01-00-00,15.84,206.91,-7.1699999999999999,-14.119999999999999
2003-01-01-00-59,19.059999999999999,228.71000000000001,-14.33,-12.58
2003-01-01-02-00,12.609999999999999,218.52000000000001,-7.8499999999999996,-9.8699999999999992
2003-01-01-03-00,4.6900000000000004,172.11000000000001,0.64000000000000001,-4.6500000000000004
2003-01-01-03-59,3.8100000000000001,106.70999999999999,3.6499999999999999,-1.1000000000000001
2003-01-01-05-00,11.73,83.150000000000006,11.65,1.3999999999999999
2003-01-01-06-00,13.49,88.069999999999993,13.48,0.45000000000000001
2003-01-01-06-59,17.300000000000001,81.390000000000001,17.109999999999999,2.5899999999999999
2003-01-01-08-00,9.6799999999999997,81.390000000000001,9.5700000000000003,1.45
2003-01-01-09-00,1.76,147.84999999999999,0.93999999999999995,-1.49
2003-01-01-09-59,7.6299999999999999,241.37,-6.6900000000000004,-3.6499999999999999
2003-01-01-11-00,9.0899999999999999,217.81,-5.5700000000000003,-7.1799999999999997
2003-01-01-12-00,11.73,228.00999999999999,-8.7200000000000006,-7.8499999999999996
2003-01-01-12-59,13.789999999999999,204.80000000000001,-5.7800000000000002,-12.51
2003-01-01-14-00,15.25,206.21000000000001,-6.7400000000000002,-13.68
2003-01-01-15-00,14.66,186.16999999999999,-1.5800000000000001,-14.58
2003-01-01-15-59,8.5099999999999998,162.96000000000001,2.4900000000000002,-8.1300000000000008
2003-01-01-17-00,11.15,149.25,5.7000000000000002,-9.5800000000000001
2003-01-01-18-00,14.08,133.78,10.16,-9.7400000000000002
2003-01-01-18-59,13.789999999999999,105.65000000000001,13.27,-3.7200000000000002
2003-01-01-20-00,6.75,63.109999999999999,6.0199999999999996,3.0499999999999998
2003-01-01-21-00,1.1699999999999999,248.05000000000001,-1.0900000000000001,-0.44
2003-01-01-21-59,11.44,251.91999999999999,-10.869999999999999,-3.5499999999999998
2003-01-01-23-00,17.010000000000002,257.89999999999998,-16.629999999999999,-3.5699999999999998
2003-01-02-00-00,25.52,250.86000000000001,-24.109999999999999,-8.3599999999999994
2003-01-02-00-59,29.620000000000001,251.22,-28.050000000000001,-9.5399999999999991
2003-01-02-02-00,25.52,250.86000000000001,-24.109999999999999,-8.3599999999999994
2003-01-02-03-00,22.0,232.58000000000001,-17.469999999999999,-13.369999999999999
2003-01-02-03-59,15.25,251.22,-14.44,-4.9100000000000001
2003-01-02-05-00,18.48,229.06999999999999,-13.960000000000001,-12.109999999999999
2003-01-02-06-00,15.25,154.16999999999999,6.6399999999999997,-13.73
2003-01-02-06-59,4.1100000000000003,202.34,-1.5600000000000001,-3.7999999999999998
2003-01-02-08-00,2.9300000000000002,217.11000000000001,-1.77,-2.3399999999999999
2003-01-02-09-00,21.120000000000001,207.97,-9.9000000000000004,-18.649999999999999
2003-01-02-09-59,24.640000000000001,207.97,-11.550000000000001,-21.760000000000002
2003-01-02-11-00,23.760000000000002,194.96000000000001,-6.1299999999999999,-22.949999999999999
2003-01-02-12-00,20.82,235.75,-17.210000000000001,-11.720000000000001
2003-01-02-12-59,46.93,204.80000000000001,-19.690000000000001,-42.600000000000001
2003-01-02-14-00,38.420000000000002,200.22999999999999,-13.289999999999999,-36.049999999999997
2003-01-02-15-00,32.259999999999998,177.38,1.47,-32.229999999999997
2003-01-02-15-59,24.640000000000001,179.13999999999999,0.37,-24.629999999999999
2003-01-02-17-00,23.170000000000002,200.22999999999999,-8.0099999999999998,-21.739999999999998
2003-01-02-18-00,23.760000000000002,166.83000000000001,5.4100000000000001,-23.129999999999999
2003-01-02-18-59,25.219999999999999,154.88,10.710000000000001,-22.84
2003-01-02-20-00,21.41,148.55000000000001,11.17,-18.27
2003-01-02-21-00,18.48,143.97999999999999,10.869999999999999,-14.94
2003-01-02-21-59,18.48,185.12,-1.6499999999999999,-18.399999999999999
2003-01-02-23-00,16.129999999999999,193.55000000000001,-3.7799999999999998,-15.68
2003-01-03-00-00,16.129999999999999,205.50999999999999,-6.9500000000000002,-14.56
2003-01-03-00-59,21.41,201.63999999999999,-7.9000000000000004,-19.899999999999999
2003-01-03-02-00,23.760000000000002,224.13999999999999,-16.550000000000001,-17.050000000000001
2003-01-03-03-00,15.25,204.44999999999999,-6.3099999999999996,-13.880000000000001
2003-01-03-03-59,10.27,160.15000000000001,3.4900000000000002,-9.6600000000000001
2003-01-03-05-00,12.609999999999999,134.47999999999999,9.0,-8.8399999999999999
2003-01-03-06-00,15.84,96.859999999999999,15.720000000000001,-1.8899999999999999
2003-01-03-06-59,20.530000000000001,91.590000000000003,20.52,-0.56999999999999995
2003-01-03-08-00,21.120000000000001,93.0,21.09,-1.1000000000000001
2003-01-03-09-00,14.08,85.609999999999999,14.039999999999999,1.0800000000000001
2003-01-03-09-59,6.75,116.90000000000001,6.0199999999999996,-3.0499999999999998
2003-01-03-11-00,10.27,175.62,0.78000000000000003,-10.24
2003-01-03-12-00,7.3300000000000001,179.84,0.02,-7.3300000000000001
2003-01-03-12-59,6.75,205.50999999999999,-2.9100000000000001,-6.0899999999999999
2003-01-03-14-00,6.1600000000000001,233.99000000000001,-4.9800000000000004,-3.6200000000000001
2003-01-03-15-00,4.6900000000000004,145.74000000000001,2.6400000000000001,-3.8799999999999999
2003-01-03-15-59,5.2800000000000002,122.88,4.4299999999999997,-2.8700000000000001
2003-01-03-17-00,8.5099999999999998,78.930000000000007,8.3499999999999996,1.6299999999999999
2003-01-03-18-00,7.6299999999999999,75.420000000000002,7.3799999999999999,1.9199999999999999
2003-01-03-18-59,14.369999999999999,83.150000000000006,14.27,1.71
2003-01-03-20-00,11.15,53.619999999999997,8.9700000000000006,6.6100000000000003
2003-01-03-21-00,1.76,83.849999999999994,1.75,0.19
2003-01-03-21-59,5.2800000000000002,56.780000000000001,4.4199999999999999,2.8900000000000001
2003-01-03-23-00,6.4500000000000002,167.88999999999999,1.3500000000000001,-6.3099999999999996
2003-01-04-00-00,14.08,233.63999999999999,-11.34,-8.3499999999999996
2003-01-04-00-59,17.890000000000001,242.43000000000001,-15.859999999999999,-8.2799999999999994
2003-01-04-02-00,36.960000000000001,253.33000000000001,-35.399999999999999,-10.6
