,u,v,depth
2009-09-01-00-00,-6.9000000000000004,3.2999999999999998,62.0
2009-09-01-00-59,-4.75,-1.9099999999999999,62.0
2009-09-01-02-00,0.71999999999999997,3.23,62.0
2009-09-01-03-00,2.1800000000000002,0.73999999999999999,62.0
2009-09-01-03-59,7.96,0.56000000000000005,62.0
2009-09-01-05-00,3.6499999999999999,0.34000000000000002,62.0
2009-09-01-06-00,2.3399999999999999,0.89000000000000001,62.0
2009-09-01-06-59,-0.90000000000000002,7.3399999999999999,62.0
2009-09-01-08-00,-3.6099999999999999,6.6500000000000004,62.0
2009-09-01-09-00,-3.3100000000000001,2.0499999999999998,62.0
2009-09-01-09-59,4.9199999999999999,0.28999999999999998,62.0
2009-09-01-11-00,-0.80000000000000004,-1.1699999999999999,62.0
2009-09-01-12-00,-5.1200000000000001,0.059999999999999998,62.0
2009-09-01-12-59,-1.3500000000000001,-3.21,62.0
2009-09-01-14-00,-1.6000000000000001,-0.56999999999999995,62.0
2009-09-01-15-00,-3.6499999999999999,-2.1099999999999999,62.0
2009-09-01-15-59,-2.8999999999999999,-2.2000000000000002,62.0
2009-09-01-17-00,-0.39000000000000001,1.3400000000000001,62.0
2009-09-01-18-00,1.3200000000000001,4.0300000000000002,62.0
2009-09-01-18-59,-0.059999999999999998,5.1900000000000004,62.0
2009-09-01-20-00,0.45000000000000001,5.2400000000000002,62.0
2009-09-01-21-00,-0.02,2.9100000000000001,62.0
2009-09-01-21-59,-1.3200000000000001,2.7400000000000002,62.0
2009-09-01-23-00,-2.8199999999999998,3.2400000000000002,62.0
2009-09-02-00-00,-9.6300000000000008,2.29,62.0
2009-09-02-00-59,-2.8500000000000001,-1.6699999999999999,62.0
2009-09-02-02-00,-1.52,-2.6299999999999999,62.0
2009-09-02-03-00,-10.52,-2.1400000000000001,62.0
2009-09-02-03-59,-4.3499999999999996,-2.21,62.0
2009-09-02-05-00,-0.68000000000000005,-5.5099999999999998,62.0
2009-09-02-06-00,5.0300000000000002,-0.089999999999999997,62.0
2009-09-02-06-59,-0.44,0.81000000000000005,62.0
2009-09-02-08-00,4.3099999999999996,4.4900000000000002,62.0
2009-09-02-09-00,0.58999999999999997,0.47999999999999998,62.0
2009-09-02-09-59,7.5499999999999998,2.3100000000000001,62.0
2009-09-02-11-00,-1.6200000000000001,5.8799999999999999,62.0
2009-09-02-12-00,0.88,1.6100000000000001,62.0
2009-09-02-12-59,0.42999999999999999,-0.40000000000000002,62.0
2009-09-02-14-00,1.52,-3.4100000000000001,62.0
2009-09-02-15-00,1.47,-2.8999999999999999,62.0
2009-09-02-15-59,2.5600000000000001,-4.46,62.0
2009-09-02-17-00,1.71,-5.1299999999999999,62.0
2009-09-02-18-00,3.5499999999999998,-0.72999999999999998,62.0
2009-09-02-18-59,3.0699999999999998,2.6699999999999999,62.0
2009-09-02-20-00,-0.12,1.1100000000000001,62.0
2009-09-02-21-00,-17.440000000000001,39.700000000000003,62.0
2009-09-02-21-59,17.780000000000001,-2.7200000000000002,62.0
2009-09-02-23-00,3.6400000000000001,-20.289999999999999,62.0
2009-09-03-00-00,2.3900000000000001,4.6600000000000001,62.0
2009-09-03-00-59,-5.79,-7.6299999999999999,62.0
2009-09-03-02-00,-13.58,-0.22,62.0
