,wind speed ,direction
2014-04-01-00-00,9.8300000000000001,359.85000000000002
2014-04-01-00-10,10.27,358.69999999999999
2014-04-01-00-20,9.8399999999999999,0.28999999999999998
2014-04-01-00-30,10.35,356.48000000000002
2014-04-01-00-40,10.25,0.81000000000000005
2014-04-01-00-49,9.0099999999999998,356.70999999999998
2014-04-01-00-59,9.6999999999999993,356.32999999999998
2014-04-01-01-10,10.74,359.75
2014-04-01-01-20,11.18,6.29
2014-04-01-01-30,12.17,8.4900000000000002
2014-04-01-01-40,11.93,7.4199999999999999
2014-04-01-01-50,11.01,11.15
2014-04-01-02-00,11.550000000000001,13.42
2014-04-01-02-10,12.19,12.119999999999999
2014-04-01-02-19,12.640000000000001,10.050000000000001
2014-04-01-02-29,12.779999999999999,17.41
2014-04-01-02-40,12.92,12.710000000000001
2014-04-01-02-50,13.24,13.050000000000001
2014-04-01-03-00,12.779999999999999,16.829999999999998
2014-04-01-03-10,11.640000000000001,18.719999999999999
2014-04-01-03-20,11.880000000000001,12.869999999999999
2014-04-01-03-30,11.06,7.8600000000000003
2014-04-01-03-40,11.34,8.5
2014-04-01-03-49,11.35,8.7300000000000004
2014-04-01-03-59,11.17,8.2799999999999994
2014-04-01-04-10,10.44,356.45999999999998
2014-04-01-04-20,10.44,1.28
2014-04-01-04-30,10.970000000000001,0.92000000000000004
2014-04-01-04-40,11.81,359.98000000000002
2014-04-01-04-50,11.039999999999999,2.5600000000000001
2014-04-01-05-00,11.720000000000001,359.77999999999997
2014-04-01-05-10,12.359999999999999,4.2999999999999998
2014-04-01-05-19,12.02,9.0099999999999998
2014-04-01-05-29,10.640000000000001,3.7000000000000002
2014-04-01-05-40,10.23,3.79
2014-04-01-05-50,11.33,10.449999999999999
2014-04-01-06-00,11.44,8.3200000000000003
2014-04-01-06-10,10.27,4.1900000000000004
2014-04-01-06-20,9.9900000000000002,358.58999999999997
2014-04-01-06-30,10.800000000000001,0.52000000000000002
2014-04-01-06-40,10.880000000000001,356.81
2014-04-01-06-49,10.800000000000001,359.73000000000002
2014-04-01-06-59,10.640000000000001,357.75999999999999
2014-04-01-07-10,10.15,357.56
2014-04-01-07-20,10.279999999999999,0.91000000000000003
2014-04-01-07-30,9.8200000000000003,354.36000000000001
2014-04-01-07-40,10.119999999999999,351.55000000000001
2014-04-01-07-50,9.6600000000000001,355.49000000000001
2014-04-01-08-00,9.3399999999999999,351.11000000000001
2014-04-01-08-10,9.0999999999999996,352.42000000000002
2014-04-01-08-19,10.01,355.08999999999997
2014-04-01-08-29,10.109999999999999,356.07999999999998
2014-04-01-08-40,10.210000000000001,358.39999999999998
2014-04-01-08-50,10.609999999999999,355.76999999999998
2014-04-01-09-00,10.300000000000001,355.93000000000001
2014-04-01-09-10,10.83,359.47000000000003
2014-04-01-09-20,11.32,358.99000000000001
2014-04-01-09-30,10.85,1.1899999999999999
2014-04-01-09-40,11.1,4.7199999999999998
2014-04-01-09-49,10.5,1.0900000000000001
2014-04-01-09-59,11.119999999999999,4.8899999999999997
2014-04-01-10-10,10.77,3.73
2014-04-01-10-20,11.0,359.88
2014-04-01-10-30,11.199999999999999,4.3499999999999996
2014-04-01-10-40,11.26,5.9800000000000004
2014-04-01-10-50,10.970000000000001,3.8300000000000001
2014-04-01-11-00,11.49,9.0899999999999999
2014-04-01-11-10,11.19,7.1200000000000001
2014-04-01-11-19,10.390000000000001,5.8300000000000001
2014-04-01-11-29,11.359999999999999,6.9800000000000004
2014-04-01-11-40,10.93,2.7000000000000002
2014-04-01-11-50,10.859999999999999,7.2199999999999998
2014-04-01-12-00,10.789999999999999,5.6799999999999997
2014-04-01-12-10,9.9499999999999993,8.6300000000000008
2014-04-01-12-20,9.9000000000000004,7.3099999999999996
2014-04-01-12-30,10.31,11.6
2014-04-01-12-40,10.300000000000001,11.94
2014-04-01-12-49,9.9700000000000006,11.01
2014-04-01-12-59,10.359999999999999,10.94
2014-04-01-13-10,10.26,13.91
2014-04-01-13-20,9.7200000000000006,10.93
2014-04-01-13-30,9.6899999999999995,9.8100000000000005
2014-04-01-13-40,9.6099999999999994,9.9299999999999997
2014-04-01-13-50,9.7100000000000009,13.1
2014-04-01-14-00,9.7300000000000004,13.02
2014-04-01-14-10,9.7300000000000004,11.460000000000001
2014-04-01-14-19,9.5700000000000003,13.529999999999999
2014-04-01-14-29,10.390000000000001,6.71
2014-04-01-14-40,9.6500000000000004,9.6300000000000008
2014-04-01-14-50,9.5,9.9399999999999995
2014-04-01-15-00,9.3699999999999992,12.869999999999999
2014-04-01-15-10,8.8599999999999994,15.24
2014-04-01-15-20,8.5899999999999999,16.579999999999998
2014-04-01-15-30,8.5199999999999996,17.699999999999999
2014-04-01-15-40,8.7200000000000006,16.879999999999999
2014-04-01-15-49,8.0500000000000007,19.850000000000001
2014-04-01-15-59,7.8799999999999999,18.719999999999999
2014-04-01-16-10,7.3799999999999999,18.5
2014-04-01-16-20,7.1500000000000004,18.600000000000001
2014-04-01-16-30,6.8600000000000003,19.5
2014-04-01-16-40,6.7000000000000002,24.190000000000001
2014-04-01-16-50,6.3600000000000003,20.210000000000001
2014-04-01-17-00,6.0700000000000003,16.75
2014-04-01-17-10,5.6399999999999997,14.35
2014-04-01-17-19,4.7300000000000004,10.92
2014-04-01-17-29,4.8200000000000003,13.98
2014-04-01-17-40,4.3899999999999997,13.17
2014-04-01-17-50,4.0700000000000003,10.44
2014-04-01-18-00,3.46,8.5899999999999999
2014-04-01-18-10,3.29,11.77
2014-04-01-18-20,3.3199999999999998,23.550000000000001
2014-04-01-18-30,4.0899999999999999,29.25
