,depth,wind,direction
2003-09-01-00-00,-4.0,3.8399999999999999,199.0
2003-09-01-00-59,-4.0,4.7800000000000002,208.19999999999999
2003-09-01-02-00,-4.0,4.8300000000000001,219.19999999999999
2003-09-01-03-00,-4.0,5.79,229.69999999999999
2003-09-01-03-59,-4.0,5.0700000000000003,223.40000000000001
2003-09-01-05-00,-4.0,4.6799999999999997,229.80000000000001
2003-09-01-06-00,-4.0,5.0300000000000002,236.0
2003-09-01-06-59,-4.0,4.8399999999999999,244.69999999999999
2003-09-01-08-00,-4.0,4.0599999999999996,238.80000000000001
2003-09-01-09-00,-4.0,4.0999999999999996,237.59999999999999
2003-09-01-09-59,-4.0,5.5,241.90000000000001
2003-09-01-11-00,-4.0,5.1299999999999999,250.5
2003-09-01-12-00,-4.0,5.5199999999999996,239.30000000000001
2003-09-01-12-59,-4.0,4.6200000000000001,248.59999999999999
2003-09-01-14-00,-4.0,4.4199999999999999,281.10000000000002
2003-09-01-15-00,-4.0,2.8300000000000001,226.09999999999999
2003-09-01-15-59,-4.0,4.9400000000000004,208.09999999999999
2003-09-01-17-00,-4.0,4.0800000000000001,214.0
2003-09-01-18-00,-4.0,4.0700000000000003,207.5
2003-09-01-18-59,-4.0,4.3899999999999997,209.09999999999999
2003-09-01-20-00,-4.0,5.2000000000000002,200.0
2003-09-01-21-00,-4.0,4.7000000000000002,214.5
2003-09-01-21-59,-4.0,4.3499999999999996,218.80000000000001
2003-09-01-23-00,-4.0,4.2999999999999998,221.59999999999999
2003-09-02-00-00,-4.0,4.0300000000000002,223.30000000000001
2003-09-02-00-59,-4.0,3.5099999999999998,219.80000000000001
2003-09-02-02-00,-4.0,3.9100000000000001,223.80000000000001
2003-09-02-03-00,-4.0,3.4100000000000001,235.0
2003-09-02-03-59,-4.0,3.5800000000000001,218.80000000000001
2003-09-02-05-00,-4.0,3.5099999999999998,225.19999999999999
2003-09-02-06-00,-4.0,3.0099999999999998,239.0
2003-09-02-06-59,-4.0,2.4199999999999999,248.5
2003-09-02-08-00,-4.0,2.1699999999999999,244.5
2003-09-02-09-00,-4.0,2.6600000000000001,309.60000000000002
2003-09-02-09-59,-4.0,2.0099999999999998,316.89999999999998
2003-09-02-11-00,-4.0,1.95,332.69999999999999
2003-09-02-12-00,-4.0,2.6699999999999999,342.30000000000001
2003-09-02-12-59,-4.0,1.3,7.3099999999999996
2003-09-02-14-00,-4.0,2.21,354.81999999999999
2003-09-02-15-00,-4.0,6.1299999999999999,80.099999999999994
2003-09-02-15-59,-4.0,7.2999999999999998,73.099999999999994
2003-09-02-17-00,-4.0,5.7199999999999998,65.299999999999997
2003-09-02-18-00,-4.0,5.75,53.649999999999999
2003-09-02-18-59,-4.0,6.0300000000000002,46.759999999999998
2003-09-02-20-00,-4.0,5.3200000000000003,47.340000000000003
2003-09-02-21-00,-4.0,5.2599999999999998,59.0
2003-09-02-21-59,-4.0,4.2199999999999998,78.099999999999994
2003-09-02-23-00,-4.0,2.9399999999999999,81.200000000000003
